project.number,status,project.type,approval.date,implementation.start.date,original.completion.date,revised.completion.date, project.budget , cumulative.disbursements , undisbursed.amount ,success.rating
6484,FINANCIALLY COMPLETED,RE,39699.00,39699.00,39964.00,40298.00,  1.200 ,  1.112 ,  0.088 ,
6485,FINANCIALLY COMPLETED,RE,39703.00,39703.00,40178.00,40786.00,  1.400 ,  1.346 ,  0.054 ,1
6486,FINANCIALLY COMPLETED,RE,39703.00,39703.00,40268.00,41639.00,  0.998 ,  0.866 ,  0.132 ,0
6487,FINANCIALLY COMPLETED,RE,39703.00,39703.00,39721.00,40178.00,  0.066 ,  0.046 ,  0.020 ,1
6488,FINANCIALLY COMPLETED,RE,39715.00,39715.00,40999.00,42185.00,  5.000 ,  4.829 ,  0.171 ,1
6489,FINANCIALLY COMPLETED,RE,39717.00,39717.00,40482.00,41364.00,  3.000 ,  2.960 ,  0.040 ,1
6490,FINANCIALLY COMPLETED,RE,39723.00,39723.00,40359.00,41820.00,  0.950 ,  0.697 ,  0.253 ,1
6491,FINANCIALLY COMPLETED,RE,39727.00,39727.00,40268.00,40543.00,  0.460 ,  0.439 ,  0.021 ,1
6492,ACTIVE,RE,39728.00,39728.00,39994.00,43465.00,  2.750 ,  1.656 ,  1.094 ,
6493,FINANCIALLY COMPLETED,RE,39731.00,39731.00,40543.00,40967.00,  0.500 ,  0.431 ,  0.069 ,1
6494,FINANCIALLY COMPLETED,RE,39737.00,39737.00,40298.00,40786.00,  0.150 ,  0.098 ,  0.052 ,1
6495,FINANCIALLY COMPLETED,RE,39744.00,39744.00,40359.00,40482.00,  1.000 ,  0.801 ,  0.199 ,1
6496,FINANCIALLY COMPLETED,RE,39748.00,39748.00,40543.00,40908.00,  1.000 ,  0.871 ,  0.129 ,1
6497,FINANCIALLY COMPLETED,RE,39750.00,39750.00,40877.00,41578.00,  0.900 ,  0.800 ,  0.100 ,1
6498,ACTIVE,RE,39755.00,39755.00,40512.00,44196.00,  26.668 ,  18.757 ,  7.911 ,
6499,FINANCIALLY COMPLETED,RE,39755.00,39755.00,40482.00,40724.00,  1.900 ,  1.693 ,  0.207 ,1
6500,FINANCIALLY COMPLETED,RE,39765.00,39765.00,40117.00,41820.00,  0.910 ,  0.786 ,  0.124 ,1
6501,FINANCIALLY COMPLETED,RE,39762.00,39762.00,40512.00,42004.00,  4.070 ,  3.699 ,  0.371 ,1
6502,FINANCIALLY COMPLETED,RE,39766.00,39766.00,40908.00,42582.00,  1.400 ,  1.093 ,  0.307 ,0
6503,FINANCIALLY COMPLETED,RE,39786.00,39786.00,40602.00,40847.00,  0.600 ,  0.540 ,  0.060 ,1
6504,FINANCIALLY COMPLETED,RE,39790.00,39790.00,40633.00,41274.00,  2.000 ,  1.755 ,  0.245 ,1
6505,FINANCIALLY COMPLETED,RE,39792.00,39792.00,40117.00,40482.00,  0.600 ,  0.511 ,  0.089 ,1
6506,FINANCIALLY COMPLETED,RE,39797.00,39797.00,40908.00,42369.00,  1.170 ,  1.128 ,  0.042 ,1
6507,FINANCIALLY COMPLETED,RE,39793.00,39793.00,40908.00,42735.00,  1.540 ,  1.516 ,  0.024 ,
6508,FINANCIALLY COMPLETED,RE,39794.00,39794.00,40056.00,40633.00,  1.800 ,  1.403 ,  0.397 ,1
