project.number,status,project.type,approval.date,implementation.start.date,original.completion.date,revised.completion.date, project.budget , cumulative.disbursements , undisbursed.amount ,success.rating
4472,FINANCIALLY COMPLETED,AD,38331.00,38401.00,39447.00,39447.00,  0.500 ,  0.372 ,  0.128 ,1
4473,FINANCIALLY COMPLETED,AD,38334.00,38442.00,39263.00,39629.00,  1.300 ,  0.775 ,  0.525 ,1
4474,FINANCIALLY COMPLETED,AD,38334.00,38442.00,40178.00,40724.00,  3.700 ,  3.427 ,  0.273 ,
4475,FINANCIALLY COMPLETED,PP,38334.00,38334.00,38442.00,38898.00,  0.150 ,  0.149 ,  0.001 ,
4476,FINANCIALLY COMPLETED,AD,38335.00,38364.00,38656.00,38868.00,  0.850 ,  0.802 ,  0.048 ,1
4477,FINANCIALLY COMPLETED,AD,38335.00,38356.00,38748.00,39447.00,  0.250 ,  0.229 ,  0.021 ,1
4478,FINANCIALLY COMPLETED,PP,38335.00,38379.00,38533.00,39263.00,  0.840 ,  0.773 ,  0.067 ,1
4479,FINANCIALLY COMPLETED,AD,38335.00,38426.00,38807.00,38898.00,  0.400 ,  0.391 ,  0.009 ,1
4480,FINANCIALLY COMPLETED,AD,38336.00,38518.00,39233.00,39568.00,  0.600 ,  0.585 ,  0.015 ,1
4481,CANCELLED,AD,38336.00,,38717.00,38717.00,  0.700 ,  -   ,  0.700 ,
4482,FINANCIALLY COMPLETED,AD,38336.00,38372.00,39141.00,39355.00,  0.800 ,  0.737 ,  0.063 ,1
4483,FINANCIALLY COMPLETED,AD,38336.00,38445.00,38717.00,39478.00,  0.850 ,  0.793 ,  0.057 ,1
4484,FINANCIALLY COMPLETED,AD,38336.00,38336.00,38472.00,38837.00,  0.150 ,  0.142 ,  0.008 ,
4485,FINANCIALLY COMPLETED,PP,38336.00,38448.00,38640.00,39447.00,  1.070 ,  1.051 ,  0.019 ,
4486,FINANCIALLY COMPLETED,AD,38337.00,38388.00,38960.00,39325.00,  0.300 ,  0.127 ,  0.173 ,1
4487,FINANCIALLY COMPLETED,PP,38337.00,38358.00,38533.00,38898.00,  0.500 ,  0.453 ,  0.047 ,
4488,FINANCIALLY COMPLETED,AD,38337.00,38377.00,39113.00,39903.00,  0.158 ,  0.119 ,  0.039 ,1
4489,FINANCIALLY COMPLETED,AD,38338.00,38446.00,39172.00,39538.00,  0.600 ,  0.325 ,  0.275 ,1
4490,FINANCIALLY COMPLETED,AD,38339.00,38428.00,39141.00,39872.00,  0.530 ,  0.511 ,  0.019 ,1
4491,CANCELLED,AD,38338.00,38728.00,38960.00,38960.00,  0.800 ,  -   ,  0.800 ,
4492,FINANCIALLY COMPLETED,AD,38339.00,38520.00,38686.00,39813.00,  0.400 ,  0.338 ,  0.062 ,1
4493,FINANCIALLY COMPLETED,PP,38338.00,38520.00,38656.00,39813.00,  0.600 ,  0.538 ,  0.062 ,
4494,FINANCIALLY COMPLETED,AD,38338.00,38344.00,39082.00,39262.00,  0.700 ,  0.643 ,  0.057 ,1
4495,FINANCIALLY COMPLETED,PP,38338.00,38395.00,38776.00,39141.00,  0.600 ,  0.552 ,  0.048 ,
4496,FINANCIALLY COMPLETED,AD,38338.00,38551.00,38929.00,39447.00,  0.700 ,  0.517 ,  0.183 ,1
4497,FINANCIALLY COMPLETED,AD,38338.00,38707.00,38929.00,39583.00,  0.800 ,  0.689 ,  0.111 ,1
4498,CANCELLED,PP,38338.00,,38595.00,38595.00,  0.750 ,  -   ,  0.750 ,
4499,FINANCIALLY COMPLETED,PP,38338.00,38453.00,38807.00,39005.00,  0.600 ,  0.512 ,  0.088 ,
4500,FINANCIALLY COMPLETED,AD,38338.00,38338.00,38717.00,38960.00,  0.150 ,  0.130 ,  0.020 ,
4501,FINANCIALLY COMPLETED,AD,38338.00,38349.00,38868.00,39721.00,  0.750 ,  0.472 ,  0.278 ,1
4502,FINANCIALLY COMPLETED,AD,38338.00,38377.00,38898.00,39082.00,  0.960 ,  0.852 ,  0.108 ,1
4503,FINANCIALLY COMPLETED,AD,38301.00,38301.00,38837.00,39416.00,  0.150 ,  0.141 ,  0.009 ,
4504,FINANCIALLY COMPLETED,AD,38341.00,38666.00,39903.00,40466.00,  20.000 ,  5.651 ,  14.349 ,1
4506,FINANCIALLY COMPLETED,AD,38341.00,38704.00,38898.00,39872.00,  0.700 ,  0.575 ,  0.125 ,1
4507,FINANCIALLY COMPLETED,AD,38341.00,38545.00,39447.00,39994.00,  0.600 ,  0.542 ,  0.058 ,1
4508,FINANCIALLY COMPLETED,PP,38341.00,38341.00,38533.00,38556.00,  0.150 ,  0.132 ,  0.018 ,
4509,FINANCIALLY COMPLETED,AD,38341.00,38380.00,39233.00,40178.00,  0.500 ,  0.383 ,  0.117 ,1
4510,FINANCIALLY COMPLETED,AD,38341.00,38342.00,38898.00,38898.00,  0.300 ,  0.163 ,  0.137 ,1
4511,FINANCIALLY COMPLETED,AD,38341.00,38389.00,38656.00,39629.00,  0.500 ,  0.427 ,  0.073 ,1
4512,FINANCIALLY COMPLETED,AD,38341.00,38386.00,38748.00,39263.00,  0.350 ,  0.332 ,  0.018 ,1
4513,FINANCIALLY COMPLETED,AD,38341.00,38407.00,39386.00,39447.00,  0.400 ,  0.374 ,  0.026 ,1
4514,FINANCIALLY COMPLETED,AD,38341.00,38341.00,38929.00,39294.00,  0.150 ,  0.105 ,  0.045 ,
4515,FINANCIALLY COMPLETED,PP,38342.00,38428.00,38898.00,39172.00,  0.500 ,  0.480 ,  0.020 ,
4516,FINANCIALLY COMPLETED,PP,38341.00,38391.00,38503.00,38717.00,  0.400 ,  0.278 ,  0.122 ,
4517,FINANCIALLY COMPLETED,AD,38342.00,38608.00,38748.00,39538.00,  0.350 ,  0.346 ,  0.004 ,1
4518,FINANCIALLY COMPLETED,AD,38341.00,38663.00,38717.00,39172.00,  0.500 ,  0.451 ,  0.049 ,1
4519,FINANCIALLY COMPLETED,AD,38342.00,38390.00,39113.00,39813.00,  0.250 ,  0.248 ,  0.002 ,1
4520,FINANCIALLY COMPLETED,AD,38343.00,38498.00,38929.00,39082.00,  0.250 ,  0.191 ,  0.059 ,1
4521,FINANCIALLY COMPLETED,AD,38343.00,38442.00,38776.00,39538.00,  0.400 ,  0.357 ,  0.043 ,1
4522,CANCELLED,AD,38343.00,38726.00,38898.00,39113.00,  0.450 ,  -   ,  0.450 ,
4523,FINANCIALLY COMPLETED,AD,38344.00,38519.00,38776.00,39141.00,  0.500 ,  0.383 ,  0.117 ,1
4524,FINANCIALLY COMPLETED,AD,38344.00,38392.00,38807.00,39447.00,  0.375 ,  0.354 ,  0.021 ,1
4525,FINANCIALLY COMPLETED,PP,38344.00,38516.00,38748.00,39082.00,  0.650 ,  0.627 ,  0.023 ,
4526,FINANCIALLY COMPLETED,PP,38344.00,38547.00,38717.00,39082.00,  0.700 ,  0.691 ,  0.009 ,
4527,FINANCIALLY COMPLETED,AD,38344.00,38345.00,38837.00,39172.00,  0.350 ,  0.293 ,  0.057 ,1
4528,FINANCIALLY COMPLETED,AD,38344.00,38584.00,38656.00,39629.00,  0.500 ,  0.444 ,  0.056 ,1
4529,FINANCIALLY COMPLETED,AD,38344.00,38455.00,39082.00,40512.00,  0.600 ,  0.529 ,  0.071 ,
4530,CANCELLED,PP,38344.00,,38548.00,38548.00,  0.400 ,  -   ,  0.400 ,
4531,FINANCIALLY COMPLETED,PP,38344.00,38414.00,38656.00,39432.00,  0.850 ,  0.820 ,  0.030 ,
4532,FINANCIALLY COMPLETED,PP,38344.00,38466.00,38625.00,39416.00,  0.720 ,  0.705 ,  0.015 ,
4533,FINANCIALLY COMPLETED,PP,38344.00,38369.00,38656.00,38990.00,  0.600 ,  0.504 ,  0.096 ,
4534,FINANCIALLY COMPLETED,PP,38344.00,38542.00,38717.00,40056.00,  1.565 ,  1.550 ,  0.015 ,
4535,FINANCIALLY COMPLETED,PP,38344.00,38463.00,38656.00,39233.00,  0.800 ,  0.726 ,  0.074 ,
4536,FINANCIALLY COMPLETED,AD,38344.00,38356.00,38748.00,39021.00,  0.550 ,  0.369 ,  0.181 ,1
4537,FINANCIALLY COMPLETED,AD,38344.00,38526.00,39447.00,39473.00,  0.950 ,  0.688 ,  0.262 ,1
4538,FINANCIALLY COMPLETED,AD,38344.00,38371.00,38748.00,38837.00,  0.240 ,  0.236 ,  0.004 ,1
4539,FINANCIALLY COMPLETED,AD,38344.00,38344.00,38776.00,38776.00,  0.150 ,  0.128 ,  0.022 ,
4540,FINANCIALLY COMPLETED,PP,38344.00,38371.00,38595.00,40086.00,  0.650 ,  0.603 ,  0.047 ,1
4541,FINANCIALLY COMPLETED,AD,38344.00,38363.00,39051.00,39416.00,  1.785 ,  1.013 ,  0.772 ,1
4542,FINANCIALLY COMPLETED,PP,38344.00,38379.00,38564.00,38960.00,  0.400 ,  0.367 ,  0.033 ,
4543,FINANCIALLY COMPLETED,AD,38344.00,38476.00,38868.00,39113.00,  0.900 ,  0.849 ,  0.051 ,1
4544,FINANCIALLY COMPLETED,AD,38344.00,38470.00,38929.00,39021.00,  0.250 ,  0.230 ,  0.020 ,1
4545,FINANCIALLY COMPLETED,AD,38344.00,38471.00,38960.00,39082.00,  0.450 ,  0.069 ,  0.381 ,0
4546,FINANCIALLY COMPLETED,AD,38344.00,38478.00,39141.00,39721.00,  1.150 ,  1.028 ,  0.122 ,1
4547,FINANCIALLY COMPLETED,PP,38344.00,38519.00,38625.00,39447.00,  1.200 ,  1.095 ,  0.105 ,
4548,FINANCIALLY COMPLETED,AD,38344.00,38561.00,38990.00,40633.00,  0.750 ,  0.744 ,  0.006 ,1
4549,FINANCIALLY COMPLETED,AD,38344.00,38459.00,38898.00,39263.00,  0.450 ,  0.191 ,  0.259 ,1
4550,FINANCIALLY COMPLETED,AD,38344.00,38456.00,38776.00,38929.00,  0.500 ,  0.383 ,  0.117 ,1
4551,FINANCIALLY COMPLETED,AD,38344.00,38442.00,38686.00,39263.00,  0.880 ,  0.788 ,  0.092 ,1
4552,FINANCIALLY COMPLETED,AD,38344.00,38470.00,38748.00,39872.00,  0.970 ,  0.931 ,  0.039 ,1
4553,FINANCIALLY COMPLETED,AD,38344.00,38436.00,39051.00,39416.00,  0.400 ,  0.299 ,  0.101 ,1
4554,FINANCIALLY COMPLETED,AD,38335.00,38335.00,38898.00,38898.00,  0.150 ,  0.014 ,  0.136 ,
4555,FINANCIALLY COMPLETED,AD,38344.00,38630.00,38748.00,40967.00,  0.297 ,  0.049 ,  0.248 ,0
4556,FINANCIALLY COMPLETED,AD,38344.00,38365.00,38990.00,39447.00,  0.850 ,  0.850 ,  0.000 ,1
4557,FINANCIALLY COMPLETED,AD,38349.00,38538.00,39141.00,39844.00,  1.200 ,  1.017 ,  0.183 ,1
4558,FINANCIALLY COMPLETED,AD,38364.00,38405.00,39141.00,39813.00,  0.670 ,  0.612 ,  0.058 ,1
4561,FINANCIALLY COMPLETED,AD,38372.00,38372.00,39127.00,39325.00,  0.150 ,  0.123 ,  0.027 ,
4562,FINANCIALLY COMPLETED,AD,38372.00,38465.00,38578.00,39355.00,  0.250 ,  0.184 ,  0.066 ,1
4563,FINANCIALLY COMPLETED,AD,38387.00,38471.00,38686.00,38770.00,  0.300 ,  0.300 ,  -   ,1
4564,FINANCIALLY COMPLETED,AD,38392.00,38392.00,38503.00,38564.00,  0.150 ,  0.121 ,  0.029 ,
4565,FINANCIALLY COMPLETED,AD,38393.00,38425.00,38717.00,39447.00,  0.400 ,  0.323 ,  0.077 ,1
4566,FINANCIALLY COMPLETED,AD,38398.00,38527.00,38717.00,39447.00,  0.500 ,  0.481 ,  0.019 ,1
4567,FINANCIALLY COMPLETED,AD,38401.00,38469.00,38717.00,39082.00,  0.500 ,  0.499 ,  0.001 ,1
4568,FINANCIALLY COMPLETED,AD,38408.00,38408.00,38807.00,39172.00,  0.150 ,  0.108 ,  0.042 ,
4569,FINANCIALLY COMPLETED,AD,38408.00,38490.00,38686.00,39813.00,  0.250 ,  0.218 ,  0.032 ,1
4570,FINANCIALLY COMPLETED,PP,38413.00,38413.00,38503.00,38595.00,  0.150 ,  0.114 ,  0.036 ,
4572,FINANCIALLY COMPLETED,AD,38439.00,38455.00,39172.00,39447.00,  0.600 ,  0.161 ,  0.439 ,1
4573,FINANCIALLY COMPLETED,AD,38440.00,38665.00,40999.00,41364.00,  2.700 ,  2.641 ,  0.059 ,1
4574,FINANCIALLY COMPLETED,AD,38450.00,38505.00,38960.00,39599.00,  0.500 ,  0.464 ,  0.036 ,1
4575,FINANCIALLY COMPLETED,AD,38447.00,38447.00,38837.00,39148.00,  0.150 ,  0.125 ,  0.025 ,
4576,FINANCIALLY COMPLETED,AD,38447.00,38447.00,38595.00,38960.00,  0.150 ,  0.122 ,  0.028 ,
4577,FINANCIALLY COMPLETED,PP,38450.00,38511.00,38776.00,39538.00,  0.500 ,  0.449 ,  0.051 ,
4578,FINANCIALLY COMPLETED,PP,38453.00,38453.00,38564.00,38717.00,  0.150 ,  0.147 ,  0.003 ,
4579,FINANCIALLY COMPLETED,AD,38456.00,38516.00,38686.00,39051.00,  0.750 ,  0.165 ,  0.585 ,1
4580,FINANCIALLY COMPLETED,AD,38462.00,38504.00,39386.00,39752.00,  1.000 ,  0.889 ,  0.111 ,1
4581,FINANCIALLY COMPLETED,AD,38463.00,38513.00,39082.00,39447.00,  0.400 ,  0.328 ,  0.072 ,1
4582,FINANCIALLY COMPLETED,AD,38470.00,38602.00,38717.00,38990.00,  0.350 ,  0.349 ,  0.001 ,1
4583,FINANCIALLY COMPLETED,PP,38470.00,38470.00,38686.00,39172.00,  0.150 ,  0.113 ,  0.037 ,
4584,FINANCIALLY COMPLETED,PP,38471.00,38524.00,38837.00,39021.00,  0.500 ,  0.485 ,  0.015 ,
4585,FINANCIALLY COMPLETED,AD,38471.00,38471.00,38595.00,38732.00,  0.150 ,  0.131 ,  0.019 ,
4586,FINANCIALLY COMPLETED,PP,38488.00,38518.00,38868.00,39994.00,  0.960 ,  0.915 ,  0.045 ,
4587,FINANCIALLY COMPLETED,AD,38489.00,38489.00,38898.00,39262.00,  0.150 ,  0.144 ,  0.006 ,
4588,FINANCIALLY COMPLETED,AD,38492.00,38770.00,38837.00,39538.00,  0.402 ,  0.344 ,  0.058 ,1
4589,FINANCIALLY COMPLETED,PP,38497.00,38503.00,38656.00,39294.00,  0.687 ,  0.682 ,  0.004 ,
4590,FINANCIALLY COMPLETED,AD,38497.00,38506.00,38807.00,39538.00,  0.375 ,  0.324 ,  0.051 ,1
4591,FINANCIALLY COMPLETED,AD,38497.00,38510.00,38717.00,38717.00,  0.377 ,  0.374 ,  0.003 ,1
4592,FINANCIALLY COMPLETED,PP,38506.00,38572.00,38929.00,39202.00,  0.500 ,  0.435 ,  0.065 ,
4593,FINANCIALLY COMPLETED,PP,38512.00,38512.00,38625.00,39355.00,  0.150 ,  0.120 ,  0.030 ,
4594,FINANCIALLY COMPLETED,AD,38513.00,38533.00,38960.00,39228.00,  1.000 ,  0.466 ,  0.534 ,1
4595,FINANCIALLY COMPLETED,AD,38513.00,38513.00,38758.00,39021.00,  0.150 ,  0.145 ,  0.005 ,
4596,FINANCIALLY COMPLETED,PP,38513.00,38614.00,38822.00,39021.00,  0.511 ,  0.510 ,  0.001 ,
4597,FINANCIALLY COMPLETED,AD,38513.00,38579.00,38868.00,39355.00,  0.300 ,  0.258 ,  0.042 ,1
4598,FINANCIALLY COMPLETED,PP,38517.00,38562.00,38807.00,39171.00,  0.850 ,  0.797 ,  0.053 ,
4599,FINANCIALLY COMPLETED,AD,38519.00,38576.00,38868.00,39082.00,  0.400 ,  0.393 ,  0.007 ,1
4600,FINANCIALLY COMPLETED,AD,38524.00,38566.00,39233.00,39599.00,  0.500 ,  0.383 ,  0.117 ,1
4601,FINANCIALLY COMPLETED,AD,38527.00,38534.00,38898.00,39447.00,  0.400 ,  0.341 ,  0.059 ,1
4602,FINANCIALLY COMPLETED,AD,38527.00,38572.00,39599.00,40602.00,  3.173 ,  2.306 ,  0.866 ,1
4603,FINANCIALLY COMPLETED,AD,38531.00,38666.00,38807.00,38960.00,  0.600 ,  0.534 ,  0.066 ,1
4604,FINANCIALLY COMPLETED,AD,38531.00,38582.00,38990.00,39538.00,  0.610 ,  0.605 ,  0.005 ,1
4605,FINANCIALLY COMPLETED,AD,38533.00,38579.00,38807.00,39171.00,  0.524 ,  0.512 ,  0.011 ,1
4606,FINANCIALLY COMPLETED,PP,38534.00,38674.00,38960.00,39113.00,  0.450 ,  0.235 ,  0.215 ,1
4607,FINANCIALLY COMPLETED,PP,38534.00,38622.00,38748.00,39447.00,  0.208 ,  0.193 ,  0.015 ,
4608,FINANCIALLY COMPLETED,PP,38538.00,38609.00,38807.00,39081.00,  0.700 ,  0.668 ,  0.032 ,
4609,FINANCIALLY COMPLETED,AD,38547.00,38568.00,39782.00,39782.00,  0.600 ,  0.572 ,  0.028 ,1
4610,FINANCIALLY COMPLETED,AD,38547.00,38547.00,39308.00,39308.00,  0.150 ,  0.133 ,  0.017 ,
4611,FINANCIALLY COMPLETED,PP,38547.00,38653.00,38960.00,39813.00,  0.600 ,  0.230 ,  0.370 ,
4612,FINANCIALLY COMPLETED,AD,38547.00,38645.00,39082.00,39629.00,  0.400 ,  0.343 ,  0.057 ,1
4613,FINANCIALLY COMPLETED,AD,38539.00,38558.00,38822.00,39187.00,  1.700 ,  1.619 ,  0.081 ,1
4614,FINANCIALLY COMPLETED,AD,38552.00,38649.00,38868.00,39082.00,  0.400 ,  0.362 ,  0.038 ,1
4615,FINANCIALLY COMPLETED,PP,38550.00,38587.00,38929.00,39568.00,  0.500 ,  0.494 ,  0.006 ,
4616,FINANCIALLY COMPLETED,PP,38552.00,38604.00,38990.00,40359.00,  1.200 ,  1.152 ,  0.048 ,1
4617,FINANCIALLY COMPLETED,PP,38552.00,38576.00,38898.00,39172.00,  0.600 ,  0.596 ,  0.004 ,
4618,FINANCIALLY COMPLETED,AD,38552.00,38569.00,39082.00,40390.00,  1.000 ,  0.697 ,  0.303 ,1
4619,FINANCIALLY COMPLETED,AD,38552.00,38691.00,39141.00,39994.00,  0.700 ,  0.688 ,  0.012 ,1
4620,CANCELLED,AD,38553.00,,38776.00,38776.00,  0.350 ,  -   ,  0.350 ,
4621,FINANCIALLY COMPLETED,AD,38554.00,38566.00,39355.00,39406.00,  0.850 ,  0.325 ,  0.525 ,1
4622,FINANCIALLY COMPLETED,PP,38554.00,38671.00,39263.00,39263.00,  0.500 ,  0.434 ,  0.066 ,0
4623,FINANCIALLY COMPLETED,AD,38558.00,38692.00,38960.00,39447.00,  0.250 ,  0.209 ,  0.041 ,1
4624,CANCELLED,AD,38559.00,38559.00,38748.00,38898.00,  0.150 ,  -   ,  0.150 ,
4625,FINANCIALLY COMPLETED,PP,38566.00,38643.00,38960.00,40543.00,  1.575 ,  1.550 ,  0.025 ,
4626,FINANCIALLY COMPLETED,AD,38566.00,38690.00,39021.00,39752.00,  0.800 ,  0.797 ,  0.003 ,1
4627,FINANCIALLY COMPLETED,AD,38566.00,38615.00,39355.00,39447.00,  0.700 ,  0.625 ,  0.075 ,1
4628,FINANCIALLY COMPLETED,PP,38573.00,38614.00,38868.00,39113.00,  0.750 ,  0.746 ,  0.004 ,
4629,FINANCIALLY COMPLETED,PP,38573.00,38623.00,38807.00,40056.00,  0.707 ,  0.647 ,  0.060 ,
4630,FINANCIALLY COMPLETED,AD,38575.00,38622.00,39082.00,40359.00,  0.500 ,  0.499 ,  0.001 ,1
4631,FINANCIALLY COMPLETED,PP,38582.00,38615.00,38807.00,39721.00,  0.550 ,  0.522 ,  0.028 ,
4632,FINANCIALLY COMPLETED,PP,38582.00,38674.00,38807.00,39263.00,  0.600 ,  0.566 ,  0.034 ,
4633,FINANCIALLY COMPLETED,PP,38582.00,38617.00,38837.00,39082.00,  0.550 ,  0.508 ,  0.042 ,
4634,FINANCIALLY COMPLETED,AD,38583.00,38611.00,38960.00,39202.00,  0.500 ,  0.383 ,  0.117 ,1
4635,FINANCIALLY COMPLETED,AD,38582.00,38582.00,39325.00,39691.00,  0.150 ,  0.123 ,  0.027 ,1
4636,FINANCIALLY COMPLETED,AD,38586.00,38625.00,39021.00,39263.00,  0.200 ,  0.144 ,  0.056 ,1
4637,FINANCIALLY COMPLETED,AD,38590.00,38609.00,39447.00,39447.00,  0.390 ,  0.264 ,  0.126 ,1
4638,FINANCIALLY COMPLETED,AD,38593.00,38673.00,38990.00,39447.00,  0.250 ,  0.234 ,  0.016 ,1
4639,FINANCIALLY COMPLETED,PP,38594.00,38621.00,38837.00,39813.00,  0.770 ,  0.767 ,  0.003 ,
4640,FINANCIALLY COMPLETED,PP,38594.00,38623.00,38898.00,39721.00,  0.850 ,  0.814 ,  0.036 ,
4641,FINANCIALLY COMPLETED,AD,38594.00,38594.00,38807.00,39538.00,  0.150 ,  0.147 ,  0.003 ,
4642,FINANCIALLY COMPLETED,PP,38596.00,38667.00,38776.00,39416.00,  1.242 ,  1.143 ,  0.099 ,
4643,FINANCIALLY COMPLETED,AD,38600.00,38600.00,38686.00,38807.00,  0.150 ,  0.144 ,  0.006 ,
4644,FINANCIALLY COMPLETED,AD,38602.00,38799.00,39416.00,39568.00,  0.900 ,  0.675 ,  0.225 ,1
4645,FINANCIALLY COMPLETED,AD,38609.00,38664.00,39355.00,40633.00,  2.350 ,  2.216 ,  0.134 ,1
4646,FINANCIALLY COMPLETED,PP,38610.00,38645.00,38929.00,39507.00,  0.600 ,  0.516 ,  0.084 ,
4647,FINANCIALLY COMPLETED,AD,38610.00,38643.00,39141.00,39903.00,  1.000 ,  0.913 ,  0.087 ,1
4648,FINANCIALLY COMPLETED,PP,38611.00,38624.00,39141.00,39355.00,  0.700 ,  0.649 ,  0.051 ,
4649,FINANCIALLY COMPLETED,AD,38616.00,38699.00,38960.00,39538.00,  0.500 ,  0.451 ,  0.049 ,1
4650,FINANCIALLY COMPLETED,AD,38616.00,38616.00,38960.00,39568.00,  0.150 ,  0.104 ,  0.046 ,
4651,FINANCIALLY COMPLETED,PP,38617.00,38678.00,38960.00,39447.00,  1.310 ,  1.168 ,  0.142 ,
4652,FINANCIALLY COMPLETED,PP,38617.00,38746.00,38868.00,39355.00,  0.800 ,  0.659 ,  0.141 ,
4653,FINANCIALLY COMPLETED,AD,38617.00,38784.00,38868.00,39447.00,  0.300 ,  0.263 ,  0.037 ,1
4654,CANCELLED,PP,38617.00,,38898.00,38898.00,  0.650 ,  -   ,  0.650 ,
4655,FINANCIALLY COMPLETED,AD,38624.00,38713.00,39263.00,39599.00,  0.400 ,  0.374 ,  0.026 ,1
4656,FINANCIALLY COMPLETED,AD,38624.00,38667.00,39172.00,39447.00,  0.500 ,  0.427 ,  0.073 ,1
4657,FINANCIALLY COMPLETED,PP,38624.00,38806.00,38929.00,39447.00,  0.500 ,  0.492 ,  0.008 ,
4658,FINANCIALLY COMPLETED,AD,38625.00,38653.00,39447.00,40390.00,  0.300 ,  0.290 ,  0.010 ,1
4659,FINANCIALLY COMPLETED,AD,38628.00,38700.00,38990.00,39217.00,  0.600 ,  0.525 ,  0.075 ,1
4660,FINANCIALLY COMPLETED,AD,38628.00,38628.00,39355.00,39721.00,  0.150 ,  0.117 ,  0.033 ,
4661,FINANCIALLY COMPLETED,AD,38628.00,38705.00,39386.00,39752.00,  0.700 ,  0.615 ,  0.085 ,1
4662,FINANCIALLY COMPLETED,PP,38628.00,38666.00,38857.00,39222.00,  0.800 ,  0.780 ,  0.020 ,1
4663,FINANCIALLY COMPLETED,AD,38628.00,38628.00,38837.00,39447.00,  0.120 ,  0.045 ,  0.075 ,
4664,FINANCIALLY COMPLETED,AD,38629.00,38783.00,39021.00,39447.00,  1.300 ,  1.170 ,  0.130 ,1
4665,FINANCIALLY COMPLETED,PP,38629.00,38859.00,38868.00,39436.00,  0.500 ,  0.490 ,  0.010 ,
4666,FINANCIALLY COMPLETED,PP,38631.00,38666.00,39172.00,39447.00,  0.995 ,  0.658 ,  0.337 ,
4667,FINANCIALLY COMPLETED,AD,38628.00,38685.00,39021.00,39629.00,  0.225 ,  0.209 ,  0.016 ,
4668,FINANCIALLY COMPLETED,PP,38638.00,38668.00,39306.00,39671.00,  1.000 ,  0.442 ,  0.558 ,
4669,FINANCIALLY COMPLETED,AD,38638.00,38712.00,39082.00,39447.00,  0.765 ,  0.751 ,  0.014 ,1
4670,FINANCIALLY COMPLETED,AD,38642.00,38642.00,38776.00,39691.00,  0.550 ,  0.545 ,  0.005 ,
4671,FINANCIALLY COMPLETED,AD,38646.00,38740.00,38990.00,39478.00,  0.350 ,  0.326 ,  0.024 ,1
4672,FINANCIALLY COMPLETED,PP,38649.00,38660.00,38898.00,39113.00,  0.300 ,  0.267 ,  0.033 ,
4673,FINANCIALLY COMPLETED,AD,38651.00,38701.00,39051.00,39113.00,  0.300 ,  0.121 ,  0.179 ,1
4674,FINANCIALLY COMPLETED,AD,38652.00,38685.00,40543.00,40543.00,  0.600 ,  0.493 ,  0.107 ,1
4675,FINANCIALLY COMPLETED,AD,38656.00,38805.00,39141.00,40178.00,  1.000 ,  0.859 ,  0.141 ,1
4676,FINANCIALLY COMPLETED,AD,38656.00,38656.00,38763.00,39021.00,  0.281 ,  0.275 ,  0.006 ,1
4677,FINANCIALLY COMPLETED,AD,38656.00,38656.00,38868.00,39447.00,  0.150 ,  0.149 ,  0.001 ,
4678,FINANCIALLY COMPLETED,PP,38656.00,38729.00,39051.00,39447.00,  0.960 ,  0.860 ,  0.100 ,
4679,FINANCIALLY COMPLETED,AD,38656.00,38902.00,39386.00,39752.00,  0.650 ,  0.528 ,  0.122 ,1
4680,FINANCIALLY COMPLETED,AD,38658.00,38764.00,38837.00,39202.00,  0.300 ,  0.265 ,  0.035 ,1
4681,CANCELLED,AD,38658.00,,39082.00,39082.00,  0.500 ,  -   ,  0.500 ,
4682,FINANCIALLY COMPLETED,AD,38659.00,39022.00,39113.00,39752.00,  0.500 ,  0.390 ,  0.110 ,1
4683,FINANCIALLY COMPLETED,PP,38659.00,39008.00,38868.00,40543.00,  0.600 ,  0.423 ,  0.177 ,
4684,FINANCIALLY COMPLETED,PP,38659.00,38854.00,38898.00,39447.00,  1.130 ,  1.109 ,  0.021 ,
4685,FINANCIALLY COMPLETED,PP,38659.00,38692.00,39021.00,39223.00,  0.500 ,  0.268 ,  0.232 ,
4686,FINANCIALLY COMPLETED,AD,38660.00,38686.00,39416.00,39568.00,  0.700 ,  0.700 ,  0.000 ,1
4687,FINANCIALLY COMPLETED,AD,38660.00,38706.00,38960.00,39599.00,  0.600 ,  0.539 ,  0.061 ,1
4688,FINANCIALLY COMPLETED,AD,38656.00,38795.00,39813.00,40543.00,  0.400 ,  0.312 ,  0.088 ,1
4689,FINANCIALLY COMPLETED,AD,38670.00,38670.00,39051.00,40359.00,  0.390 ,  0.361 ,  0.029 ,1
4690,FINANCIALLY COMPLETED,AD,38670.00,38740.00,39447.00,39629.00,  1.000 ,  0.758 ,  0.242 ,1
4691,FINANCIALLY COMPLETED,PP,38670.00,38691.00,38990.00,39872.00,  1.000 ,  0.872 ,  0.128 ,
4692,FINANCIALLY COMPLETED,AD,38677.00,38888.00,38837.00,39751.00,  0.250 ,  0.135 ,  0.115 ,1
4693,FINANCIALLY COMPLETED,AD,38677.00,38819.00,39447.00,39812.00,  0.500 ,  0.472 ,  0.028 ,1
4694,FINANCIALLY COMPLETED,AD,38679.00,38755.00,39355.00,39447.00,  0.300 ,  0.249 ,  0.051 ,1
4695,FINANCIALLY COMPLETED,AD,38679.00,38722.00,39021.00,40056.00,  2.165 ,  2.018 ,  0.147 ,
